Secteur,Année,Actifs occupés,Capitalisation boursière,Consommation Finale,Consommation intermédiaire,Excédent brut d'exploitation,Exportations,Importations,FBCF,Impôts sur les produits,PIB,Production nationale,Salaires bruts,Volume des échanges
Tourisme,2017,,2063,30050,14944,17977,116.450052,2297.59647,,3047,19752,41603,6695,96.7
Tourisme,2018,,2477,32019,15912,19647,112.4891659,2594.543288,,3301,20944,44720,7029,
Tourisme,2019,,,32807,16384,,117.9573892,2554.149201,,3411,21717,46722,,
Tourisme,2020,,,14011,,,60.1351396,1744.127834,,,9575,,,
Commerce,2010,,16475,,36368,48412,,,,1460,,102423,13134,2255.5
Commerce,2011,,16768.5,6722.59,39242,53394,,,,1306,69046.87373,111264,13377,1238.65
Commerce,2012,,15297,6788.24,41146,56574,,,,1499,71887.47642,118279,14716,1154.35
Commerce,2013,,15063,6887.72,40577,55445,,,,1543,70431.70213,116409,14169,698.45
Commerce,2014,,16021,7105.26,41166,56655,,,,1637,71567.60744,118323,14464,1487.8
Commerce,2015,,15159,7118,42712,56071,,,,1726,71931,119680,14575,2028
Commerce,2016,,19104,7193,43433,59805,,,,1770,75711,125208,14881,1919.25
Commerce,2017,,21441,7337,44776,61226,,,,1844,78145,128787,15281,1739.8
Commerce,2018,,19151.5,7337,46529,63866,,,,1939,79932,134341,15964,
Commerce,2019,,,7366,47328,,,,,1975,81849,138536,,
Commerce,2020,,,3376,,,,,,,73112,,,
Services,2010,,134812.75,,87253,88299,,,,22460,,310739,50553,1984424
Services,2011,38.3,121944.5,104671.8165,92512,90251,25583.91405,29940.85667,34795.10636,23743,232849.7076,332790,53083,1469403
Services,2012,39.3,95807.5,113842.6623,101059,93037,27040.24596,31380.71964,33085.08437,26081,252446.059,354081,59670.83333,952189
Services,2013,39.8,87029.25,119680.1993,105682,91225,27510.21393,30099.97716,34252.02242,26325,259976.9029,365730,63890.33333,701267
Services,2014,40.2,102629.5,123132.7203,112102,94806,31139.74468,31362.38891,33303.41619,28057,267220.2759,380078,67049.16667,271467
Services,2015,40.4,100770,126638,116482,100912,31386.96108,31041.77407,33330.37297,29013,271085,393384,68092,949419
Services,2016,40.8,129975.25,135508,118888,102190,30406.24706,33914.03296,33106.52896,28612,276916,401820,69117.66667,642950
Services,2017,42.2,123993.25,140527,124385,108773,33246.55795,40747.62794,32052.22933,29075,281472,415898,70790.66667,946802
Services,2018,43.1,130379,144766,132278,112788,34620.31002,43754.43222,32627.19524,29820,288043,433727,71612.5,
Services,2019,44.9,,149250,137858,,34897.56719,42524.93717,31534.29014,30358,299345,456630,,
Services,2020,45.7,,132319,,,25585.92367,33413.95227,27667.58053,,288438,,,
